WGS84경도,WGS84위도
35.2333896,127.9607203
35.2373536,127.7198262
35.2382918,127.1207075
35.2387152,128.6487093
35.2442462,128.0721265
35.24934865,127.0384112196258
35.2495063,128.5928296
35.2518807,127.430588
35.2532834,126.5421394
35.2614027,126.9599307
35.2639882,128.6222263
35.271785,128.4565151
35.27259479999999,126.83457714262764
35.2753151,127.1457414
35.27899,126.72683
35.2918084,126.7629646
35.29402,127.3411745
35.2944407,127.029625
35.2985452,127.8323191
35.3178074,128.0902669
35.3233988,128.2439847
35.3276121,127.1094212
35.3321703,126.7669292
35.3455484,128.293439
35.3457523,128.0461799
35.3464335,126.9575932
35.3466885,126.0235984
35.34731,128.52161
35.35077,127.07674
35.3639974,126.9866851
35.365129,128.9181649
35.3676045,127.1575223
35.3717529,128.1077978
35.3870997,127.4049024
35.3903702,127.4412725
35.39199,128.5341
35.392507,127.4465051
35.4067826,127.3670549
35.407364,127.2159715
35.4082782,126.6771291
35.4105233,127.1415132
35.4122501,126.8510946
35.4176452,127.8635334
35.4213678,128.6726201
35.4254549,127.4575945
35.425795,127.4105158
35.425795,127.4105158
35.4340797,127.3220789
35.4355132,128.0335364
35.4399432,128.144602
35.4451876,126.494381
35.4475135,128.2483644
35.4588145,128.4751526
35.4593153,127.8622277
35.4709762,128.270336
35.47353,127.75908
35.4753911,127.152181
35.4888052,126.7159841
35.4929106,127.8366789
35.50186,129.3741
35.5176276,128.173442
35.5208268,126.5462525
35.522601,127.7161097
35.52664,127.28763
35.5319399,127.3649101
35.53522,128.11732
35.5367367,128.3493379
35.5392672,126.7398121
35.5399484,126.8859154
35.5474818,128.6286286
35.5489583,128.4819316
35.5504775,128.2763387
35.555544850000004,128.761795
35.5605044,129.3271299
35.5645583,127.7781235
35.5647542,127.1980494
35.565106799999995,127.3593640807579
35.5708527,129.26616
35.5743678,128.5413156
35.575295,128.2834671
35.5933904,128.1805828
35.6185527,126.7716967
35.6193062,128.5079442
35.621674,126.8436937
35.6250574,126.28581
35.6284413,127.326015
35.6297222,126.8727251
35.6418744,127.6908384
35.6446482,128.6673659
35.6459712,129.1609687
35.6581573,128.1087111
35.6642728,127.9444979
35.6659791,126.5305082
35.6776269,128.3411103
35.6878064,128.5899563
35.6998853,127.8547064
35.7029164,126.7868992
35.7060784,127.5798737
35.7143959,128.3225192
35.7162956,126.835197
35.72950365,126.70836709044632
35.7361274,126.45794360714284
35.752233,126.7434368
35.7632785,127.9937254
35.7643497,126.8587962
35.7682466,128.9731339
35.7774009,127.8192553
35.7784319,128.1240078
35.7818878,128.3013927
35.7921508,126.9393389
35.7929565,128.8745984
35.7986901,126.8835098
35.8012513,128.1955535
35.8029049,127.110575
35.8067865,128.5356659
35.8103884,128.5503246
35.8174103,126.371243
35.8193114,128.5309507
35.8207208,126.7698884
35.8225676,128.6280172
35.823694,128.7366022
35.825743,127.5210073
35.8299326,128.7060967
35.8330818,126.7420324
35.8332551,128.5849857
35.8404028,128.6925884
35.8411457,128.6043082
35.8493885,128.6178287
35.850619,126.3761649
35.8514517,126.3482366
35.8534228,128.6201374
35.8546544,128.63884442379455
35.8554702,126.3189639
35.8589157,128.6461987
35.8592484,128.6838761
35.8614111,128.5727327
35.8617681,128.5911304
35.86220705,128.45878135555773
35.8623524,128.6221361
35.8630112,128.6027351
35.86666,128.5754
35.8688329,128.6261487
35.8697871,128.6219719
35.8698024,128.5811669
35.8701395,128.6145723
35.8722986,128.57114
35.8732996,128.5909435
35.8771568,128.7181598
35.8773666,128.5592151
35.8791473,128.559128
35.8794226,128.5956777
35.881906,126.8275492
35.882066,128.6218228
35.8843955,128.6584962
35.8843955,128.6584962
35.886808,128.5495219
35.8876247,128.6165809
35.8884697,128.6336756
35.8991378,128.0504101
35.9121979,129.5192257
35.918501,128.8324641
35.9207671,128.5465272
35.9233643,126.9124297
35.9354911,128.1444851
35.9454171,126.9603991
35.946456,128.550384
35.94765795,127.71535229469144
35.95031,128.32194
35.9583039,127.2948458
35.9736755,126.7194695
35.9897332,127.0801268
35.9901865,128.9985253
36.0281089,127.1142667
36.0337228,129.3706712
36.0371718,126.7824789
36.039332,129.3677169
